                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95733,                 2.9748,                 3.2159,                 1.3334,                0.00624,                0.95833,                0.27049,                0.19007,                0.00644,                      1,                0.25235,                0.14062,                0.63236,                 1.6886,                 3.5237,                 1.2834,                7.5e-05,                7.5e-05,                7.5e-05
                      2,                 0.8671,                 2.1735,                 2.9647,                 1.2497,                0.00606,                0.95833,                0.27881,                0.18641,                0.00568,                0.89583,                0.23289,                0.17694,                0.73203,                 1.7296,                 3.4817,                 1.4299,             0.00015446,             0.00015446,             0.00015446
                      3,                0.81511,                 1.8309,                 2.4932,                 1.2085,                0.00601,                0.95833,                0.25545,                0.19811,                0.00601,                0.95833,                 0.2472,                0.17188,                 0.7786,                 1.8695,                 3.3336,                   1.48,             0.00022525,             0.00022525,             0.00022525
                      4,                0.75072,                 1.6948,                  2.208,                 1.1817,                0.00609,                0.95833,                0.34056,                0.23995,                0.00568,                0.89583,                  0.303,                  0.221,                 0.8051,                 2.0261,                  3.302,                 1.4623,             0.00028738,             0.00028738,             0.00028738
                      5,                0.76933,                 1.5296,                 2.0124,                 1.1803,                0.89964,                0.12474,                0.56542,                 0.3547,                0.89964,                0.12474,                0.54368,                0.34656,                0.93991,                 1.6809,                 3.1359,                 1.6051,             0.00034085,             0.00034085,             0.00034085
                      6,                0.74059,                 1.3828,                 1.7727,                  1.158,                0.50761,                0.19708,                0.48147,                0.25889,                0.50761,                0.19708,                0.43972,                0.25045,                0.97596,                 1.9421,                 3.0487,                 1.6067,             0.00038566,             0.00038566,             0.00038566
                      7,                   0.76,                 1.4751,                 1.6187,                 1.1991,                0.41565,                 0.3125,                0.42303,                0.25546,                0.43664,                0.35417,                0.42031,                0.23856,                0.96118,                 2.6782,                 2.8932,                  1.558,              0.0004218,              0.0004218,              0.0004218
                      8,                0.73919,                 1.4601,                 1.5433,                 1.1484,                0.37179,                0.33333,                0.37006,                 0.1946,                  0.352,                0.29167,                0.37281,                0.20682,                  1.067,                 2.2312,                 3.0089,                 1.6204,             0.00044928,             0.00044928,             0.00044928
                      9,                0.74188,                 1.3758,                 1.4649,                 1.1489,                0.34878,                0.49017,                0.45518,                0.26612,                0.32675,                0.43218,                0.42182,                0.25394,                0.92125,                 2.4577,                 2.9459,                 1.4878,              0.0004681,              0.0004681,              0.0004681
                     10,                0.72937,                 1.3258,                 1.4045,                 1.1474,                0.36642,                 0.5739,                0.48431,                0.32619,                 0.3651,                0.57013,                0.46595,                0.28197,                0.93993,                 2.5947,                 2.6682,                 1.5235,             0.00047826,             0.00047826,             0.00047826
                     11,                0.74978,                 1.5125,                 1.7992,                 1.3289,                0.37141,                0.45833,                0.44141,                0.27483,                 0.4144,                0.52083,                0.46132,                0.26512,                 1.0909,                 2.7012,                 2.8087,                 1.8095,             0.00047975,             0.00047975,             0.00047975
                     12,                0.69936,                 1.3913,                 1.6827,                 1.2666,                0.35885,                0.35417,                0.40204,                0.24318,                0.39799,                0.35417,                0.36536,                 0.2128,                 1.1943,                 2.7487,                 2.8357,                  2.035,             0.00047258,             0.00047258,             0.00047258
                     13,                0.69034,                 1.4568,                  1.592,                 1.2495,                0.48131,                0.47917,                0.42756,                0.28679,                0.48131,                0.47917,                 0.4107,                0.27204,                 1.1844,                 2.7637,                 2.7197,                 2.0513,             0.00045675,             0.00045675,             0.00045675
                     14,                 0.6627,                 1.3247,                 1.5917,                 1.2197,                0.36942,                0.55773,                0.44977,                0.30348,                0.37014,                0.55518,                0.42768,                0.27387,                 1.0844,                 2.6763,                  2.584,                 1.7514,             0.00043226,             0.00043226,             0.00043226
                     15,                0.61064,                 1.1561,                 1.4494,                 1.1568,                0.40343,                0.51726,                0.43536,                0.29566,                 0.3654,                0.45703,                0.39769,                 0.2394,                 1.0866,                 3.6885,                 2.5734,                 1.8057,             0.00038375,             0.00038375,             0.00038375
                     16,                0.62146,                 1.0739,                 1.3625,                 1.1828,                0.45871,                0.59985,                0.44686,                0.28841,                0.45871,                0.59985,                0.43684,                0.24604,                 1.1477,                 3.8238,                 2.4497,                 1.9243,             0.00038375,             0.00038375,             0.00038375
                     17,                0.56597,                  1.052,                 1.2662,                 1.0865,                0.43841,                 0.6875,                 0.5051,                 0.3386,                0.43841,                 0.6875,                0.48786,                0.28266,                 1.1382,                 3.6704,                 2.3895,                 1.9186,             0.00032188,             0.00032188,             0.00032188
                     18,                0.53606,                0.97905,                 1.2337,                 1.1284,                0.50013,                0.61615,                0.53574,                0.35421,                0.50013,                0.61615,                0.52153,                0.29661,                 1.1998,                 3.4703,                 2.3917,                 1.9683,                0.00026,                0.00026,                0.00026
                     19,                0.52727,                0.97511,                 1.2412,                 1.0667,                0.58052,                0.59327,                0.57403,                0.37768,                0.58052,                0.59327,                0.56335,                0.32151,                 1.1489,                 3.0542,                  2.325,                 1.8734,             0.00019813,             0.00019813,             0.00019813
                     20,                0.52236,                0.94436,                  1.188,                 1.0859,                0.50858,                0.70519,                0.60778,                0.41187,                0.50858,                0.70519,                  0.597,                0.34481,                 1.0258,                 2.8361,                 2.3093,                 1.6542,             0.00013625,             0.00013625,             0.00013625
